key	en	tr	es	de	fr	ja	zh	pt
ai.recommend.monitor	Keep monitoring; nothing here justifies action	İzlemeye devam et; müdahale gerektiren bir şey yok	Siga monitoreando; nada justifica acción	Weiter beobachten; kein Handlungsbedarf	Continuer la surveillance ; aucune action justifiée	監視を継続。対応は不要	继续观察；无需处理	Continue a monitorizar; nada justifica ação
ai.recommend.none	No action needed	Eylem gerekmiyor	No se requiere acción	Keine Aktion erforderlich	Aucune action requise	対応不要	无需操作	Nenhuma ação necessária
ai.records	records	kayıt	registros	Einträge	enregistrements	件	条记录	registos
ai.remote_failed	The configured AI endpoint did not answer ({error}); the local rule engine answered instead.	Yapılandırılan AI uç noktası yanıt vermedi ({error}); bunun yerine yerel kural motoru yanıtladı.	El endpoint de IA configurado no respondió ({error}); respondió el motor de reglas local.	Der konfigurierte KI-Endpunkt antwortete nicht ({error}); stattdessen antwortete die lokale Regel-Engine.	Le point d'entrée IA configuré n'a pas répondu ({error}) ; le moteur de règles local a répondu à la place.	設定されたAIエンドポイントが応答しません ({error})。代わりにローカルルールエンジンが回答しました。	配置的 AI 端点未响应（{error}）；改由本地规则引擎回答。	O endpoint de IA configurado não respondeu ({error}); o motor de regras local respondeu.
ai.reports	reports	şikayet	reportes	Meldungen	signalements	報告	举报	reportes
ai.section.concerns	CONCERNS	ENDİŞELER	PREOCUPACIONES	BEDENKEN	PRÉOCCUPATIONS	懸念	顾虑	PREOCUPAÇÕES
ai.section.confidence	CONFIDENCE	GÜVEN	CONFIANZA	SICHERHEIT	CONFIANCE	確信度	置信度	CONFIANÇA
ai.section.recommendation	RECOMMENDATION	ÖNERİ	RECOMENDACIÓN	EMFEHLUNG	RECOMMANDATION	推奨	建议	RECOMENDAÇÃO
ai.section.steps	STEPS	ADIMLAR	PASOS	SCHRITTE	ÉTAPES	手順	步骤	PASSOS
ai.section.verdict	VERDICT	KARAR	VEREDICTO	URTEIL	VERDICT	判定	判定	VEREDITO
ai.section.why	WHY	NEDEN	POR QUÉ	GRUND	POURQUOI	理由	原因	PORQUÊ
ai.step.abuse_contact	Contact the abuse address from the ownership record	Sahiplik kaydındaki kötüye kullanım adresine yaz	Contacte la dirección de abuso del registro de propiedad	Kontaktieren Sie die Abuse-Adresse aus dem Eigentumsdatensatz	Contactez l'adresse abuse du registre de propriété	所有権記録のabuse連絡先に連絡してください	联系所有权记录中的滥用举报邮箱	Contacte o endereço de abuso do registo de propriedade
ai.step.abuseipdb	Open the address on AbuseIPDB and read the reports	Adresi AbuseIPDB'de aç ve şikayetleri oku	Abra la dirección en AbuseIPDB y lea los reportes	Öffnen Sie die Adresse auf AbuseIPDB und lesen Sie die Meldungen	Ouvrez l'adresse sur AbuseIPDB et lisez les signalements	AbuseIPDBでアドレスを開き報告を確認	在 AbuseIPDB 打开该地址并阅读举报	Abra o endereço no AbuseIPDB e leia os relatórios
ai.step.block	Block the destination on your router or firewall	Hedefi yönlendirici veya güvenlik duvarında engelle	Bloquee el destino en su router o cortafuegos	Blockieren Sie das Ziel am Router oder der Firewall	Bloquez la destination sur votre routeur ou pare-feu	ルーターまたはファイアウォールで接続先をブロック	在路由器或防火墙上阻止该目标	Bloqueie o destino no router ou firewall
ai.step.cert_expired	Treat the connection as insecure: the certificate is no longer valid	Bağlantıyı güvensiz say: sertifika artık geçerli değil	Trate la conexión como insegura: el certificado ya no es válido	Behandeln Sie die Verbindung als unsicher: Das Zertifikat ist abgelaufen	Traitez la connexion comme non sécurisée : le certificat a expiré	証明書が失効しているため接続を安全でないものとして扱う	证书已过期，应视为不安全连接	A ligação é insegura: o certificado já não é válido
ai.step.keep_monitoring	Keep the baseline running so a later deviation is measurable	Taban çizgisi çalışmaya devam etsin ki sonraki sapma ölçülebilsin	Mantenga la línea base activa para medir desviaciones futuras	Lassen Sie die Basislinie laufen, um spätere Abweichungen zu messen	Laissez la référence active pour mesurer une dérive ultérieure	後の逸脱を測定できるようベースラインを維持	保持基线运行，以便日后度量偏离	Mantenha a linha base ativa para medir desvios futuros
ai.step.recheck	Re-run the checks in a few minutes: some sources answer slowly	Denetimleri birkaç dakika sonra yinele: bazı kaynaklar geç yanıt verir	Repita las comprobaciones en unos minutos: algunas fuentes responden lento	Wiederholen Sie die Prüfung nach einigen Minuten	Relancez les vérifications dans quelques minutes	数分後に再確認してください（応答が遅い情報源があります）	几分钟后重新检查（部分来源响应较慢）	Repita as verificações em alguns minutos
ai.step.virustotal	Open the address on VirusTotal	Adresi VirusTotal'da aç	Abra la dirección en VirusTotal	Öffnen Sie die Adresse auf VirusTotal	Ouvrez l'adresse sur VirusTotal	VirusTotalでアドレスを開く	在 VirusTotal 打开该地址	Abra o endereço no VirusTotal
ai.system_role	You are a concise network security analyst. You only state what the evidence supports.	Özlü bir ağ güvenliği analistisin. Yalnızca kanıtların desteklediğini yazarsın.	Eres un analista de seguridad conciso. Solo afirmas lo que la evidencia respalda.	Sie sind ein prägnanter Sicherheitsanalyst und nennen nur, was die Belege stützen.	Vous êtes un analyste concis et n'affirmez que ce que les preuves étayent.	簡潔なセキュリティ分析者です。証拠が支持する内容のみを述べます。	你是简明的安全分析师，只陈述证据支持的内容。	É um analista conciso e afirma apenas o que as evidências sustentam.
ai.verdict.danger	This destination shows multiple strong indicators of abuse	Bu hedef kötüye kullanıma dair birden çok güçlü gösterge taşıyor	Este destino muestra varios indicadores fuertes de abuso	Dieses Ziel zeigt mehrere starke Missbrauchsindikatoren	Cette destination présente plusieurs indicateurs forts d'abus	この接続先には悪用の強い兆候が複数あります	此目标存在多项明显的滥用指标	Este destino apresenta vários indicadores fortes de abuso
ai.verdict.info	Nothing conclusive, but at least one weak indicator deserves a look	Kesin bir şey yok, ancak en az bir zayıf gösterge incelemeye değer	Nada concluyente, pero al menos un indicador débil merece revisión	Nichts Eindeutiges, aber ein schwacher Indikator verdient Prüfung	Rien de concluant, mais un indicateur faible mérite examen	決定的ではありませんが、弱い兆候が少なくとも一つあります	无定论，但少なくとも有一项弱指标值得关注	Nada conclusivo, mas um indicador fraco merece atenção
ai.verdict.safe	The available sources report nothing suspicious for this destination	Mevcut kaynaklar bu hedef için şüpheli bir şey bildirmiyor	Las fuentes disponibles no reportan nada sospechoso	Die verfügbaren Quellen melden nichts Verdächtiges	Les sources disponibles ne signalent rien de suspect	利用可能な情報源に不審な報告はありません	现有来源未报告可疑情况	As fontes disponíveis não reportam nada suspeito
ai.verdict.warn	At least one notable indicator; verify before trusting	En az bir dikkat çekici gösterge; güvenmeden önce doğrula	Al menos un indicador notable; verifique antes de confier	Mindestens ein beachtlicher Indikator; vor Vertrauen prüfen	Au moins un indicateur notable ; vérifiez avant de faire confiance	注目すべき兆候が少なくとも一つあります。信頼する前に確認を	少なくとも有一项值得注意的指标，信任前请核实	Pelo menos um indicador relevante; verifique antes de confiar
ai.why.no_findings	No rule fired on the collected evidence	Toplanan kanıtlarda hiçbir kural tetiklenmedi	Ninguna regla se activó con la evidencia recopilada	Keine Regel griff bei den gesammelten Belegen	Aucune règle ne s'est déclenchée sur les preuves recueillies	収集した証拠でルールは発火しませんでした	已收集的证据未触发任何规则	Nenhuma regra foi acionada pelas evidências
ai.why.no_sources	No source answered, so nothing could be verified	Hiçbir kaynak yanıt vermedi, bu yüzden hiçbir şey doğrulanamadı	Ninguna fuente respondió, nada pudo verificarse	Keine Quelle antwortete, nichts konnte geprüft werden	Aucune source n'a répondu, rien n'a pu être vérifié	情報源が応答せず検証できませんでした	没有来源应答，无法验证	Nenhuma fonte respondeu, nada pôde ser verificado
ai.why.sources_clean	Answered sources with no adverse finding	Yanıt veren kaynaklarda olumsuz bulgu yok	Fuentes que respondieron sin hallazgos adversos	Antwortende Quellen ohne Befund	Sources ayant répondu sans élément défavorable	応答した情報源に有害な所見なし	已应答来源无不利发现	Fontes que responderam sem achados adversos
anomalies.baseline	baseline	taban çizgisi	línea base	Basislinie	référence	ベースライン	基线	linha base
anomalies.none	No anomaly detected in this session yet	Bu oturumda henüz anomali tespit edilmedi	Aún no se detectó ninguna anomalía en esta sesión	In dieser Sitzung wurde noch keine Anomalie erkannt	Aucune anomalie détectée pendant cette session	このセッションでは異常は検出されていません	本次会话尚未检测到异常	Ainda não foi detetada nenhuma anomalia nesta sessão
anomalies.warmup	The detector speaks after {samples} samples per subject; before that it has no baseline to compare against.	Dedektör özne başına {samples} örnekten sonra konuşur; öncesinde karşılaştıracağı taban çizgisi yoktur.	El detector opina tras {samples} muestras por sujeto; antes no tiene línea base.	Der Detektor meldet sich nach {samples} Messwerten pro Subjekt; vorher fehlt die Basislinie.	Le détecteur se prononce après {samples} échantillons par sujet ; avant, aucune référence.	検出器は対象ごとに{samples}サンプル後に判定します。それ以前は比較基準がありません。	检测器在每个主体 {samples} 个样本后才判定，此前没有基线可比。	O detetor pronuncia-se após {samples} amostras por sujeito; antes não tem linha base.
app.type.system	System application	Sistem uygulaması	Aplicación del sistema	Systemanwendung	Application système	システムアプリ	系统应用	Aplicação do sistema
app.type.user	User application	Kullanıcı uygulaması	Aplicación de usuario	Benutzeranwendung	Application utilisateur	ユーザーアプリ	用户应用	Aplicação do utilizador
apps.empty.detail	No application matches the current search and filter	Geçerli arama ve filtreyle eşleşen uygulama yok	Ninguna aplicación coincide con la búsqueda y el filtro	Keine Anwendung entspricht Suche und Filter	Aucune application ne correspond à la recherche	検索・フィルタに一致するアプリがありません	没有应用符合当前搜索和筛选	Nenhuma aplicação corresponde à pesquisa
apps.empty.title	Nothing here	Burada bir şey yok	Nada aquí	Nichts hier	Rien ici	何もありません	暂无内容	Nada aqui
apps.search	Search by name or package…	Ad veya pakete göre ara…	Buscar por nombre o paquete…	Nach Name oder Paket suchen…	Rechercher par nom ou paquet…	名前またはパッケージで検索…	按名称或包名搜索…	Pesquisar por nome ou pacote…
cellular.unavailable	No telephony radio on this device	Bu cihazda telefon radyosu yok	Este dispositivo no tiene radio de telefonía	Dieses Gerät hat kein Telefoniefunkmodul	Cet appareil n'a pas de radio téléphonique	この端末に電話機能はありません	此设备没有电话无线电	Este dispositivo não tem rádio de telefonia
cert.clean	Valid, publicly issued, name matches	Geçerli, kamuya açık CA'dan, ad eşleşiyor	Válido, emitido por CA pública, el nombre coincide	Gültig, öffentlich ausgestellt, Name passt	Valide, émis publiquement, nom conforme	有効・公的CA発行・名称一致	有效，由公共 CA 签发，名称匹配	Válido, emitido publicamente, nome corresponde
cert.expired	expired	süresi dolmuş	expirado	abgelaufen	expiré	期限切れ	已过期	expirado
cert.name_mismatch	name mismatch	ad uyuşmazlığı	discrepancia de nombre	Namenskonflikt	non-concordance du nom	名称不一致	名称不匹配	discordância de nome
cert.not_yet_valid	not yet valid	henüz geçerli değil	aún no válido	noch nicht gültig	pas encore valide	まだ有効でない	尚未生效	ainda não válido
cert.self_signed	self-signed	kendinden imzalı	autofirmado	selbstsigniert	auto-signé	自己署名	自签名	autoassinado
col.app	Application	Uygulama	Aplicación	Anwendung	Application	アプリ	应用	Aplicação
col.baseline	Baseline	Taban çizgisi	Línea base	Basislinie	Référence	ベースライン	基线	Linha base
col.current	Current	Şu an	Actual	Aktuell	Actuel	現在	当前	Atual
col.destination	Destination	Hedef	Destino	Ziel	Destination	接続先	目标	Destino
col.evidence	Evidence	Kanıt	Evidencia	Belege	Preuves	証拠	证据	Evidência
col.geo	Country	Ülke	País	Land	Pays	国	国家	País
col.org	Organisation	Kuruluş	Organización	Organisation	Organisation	組織	组织	Organização
col.risk	Risk	Risk	Riesgo	Risiko	Risque	リスク	风险	Risco
col.signer	Signer	İmzalayan	Firmante	Aussteller	Signataire	署名者	签名者	Signatário
col.total	Total	Toplam	Total	Summe	Total	合計	总计	Total
counters.since_boot	since boot	açılıştan beri	desde el arranque	seit dem Start	depuis le démarrage	起動以来	自开机以来	desde o arranque
export.anomalies	Anomalies	Anomaliler	Anomalías	Anomalien	Anomalies	異常	异常	Anomalias
export.applications	Applications	Uygulamalar	Aplicaciones	Anwendungen	Applications	アプリ	应用	Aplicações
export.destinations	Destinations	Hedefler	Destinos	Ziele	Destinations	接続先	目标	Destinos
export.device	Device	Cihaz	Dispositivo	Gerät	Appareil	端末	设备	Dispositivo
export.dialog.detail	Choose where to save the file. NetLurker cannot write anywhere else and asks for no storage permission.	Dosyanın kaydedileceği yeri seçin. NetLurker başka hiçbir yere yazamaz ve depolama izni istemez.	Elija dónde guardar el archivo. NetLurker no puede escribir en otro lugar y no pide permisos de almacenamiento.	Wählen Sie den Speicherort. NetLurker kann nirgendwo sonst schreiben und fordert keine Speicherberechtigung an.	Choisissez l'emplacement. NetLurker ne peut écrire nulle part ailleurs et ne demande aucune permission de stockage.	保存先を選択してください。NetLurkerは他の場所に書き込めず、ストレージ権限も要求しません。	选择保存位置。NetLurker 无法写入其他位置，也不申请存储权限。	Escolha onde guardar. O NetLurker não escreve noutro local e não pede permissão de armazenamento.
export.dialog.title	Export report	Raporu dışa aktar	Exportar informe	Bericht exportieren	Exporter le rapport	レポートをエクスポート	导出报告	Exportar relatório
export.done	Report saved	Rapor kaydedildi	Informe guardado	Bericht gespeichert	Rapport enregistré	レポートを保存しました	报告已保存	Relatório guardado
export.failed	Could not write the file	Dosya yazılamadı	No se pudo escribir el archivo	Datei konnte nicht geschrieben werden	Impossible d'écrire le fichier	ファイルを書き込めませんでした	无法写入文件	Não foi possível gravar o ficheiro
export.generated	Generated	Oluşturulma	Generado	Erstellt	Généré	生成日時	生成时间	Gerado
export.kpis	Key figures	Ana göstergeler	Indicadores clave	Kennzahlen	Indicateurs clés	主要指標	关键指标	Indicadores-chave
export.no_anomalies	No anomaly was recorded in this session.	Bu oturumda anomali kaydedilmedi.	No se registró ninguna anomalía en esta sesión.	In dieser Sitzung wurde keine Anomalie aufgezeichnet.	Aucune anomalie enregistrée pendant cette session.	このセッションで異常は記録されていません。	本次会话未记录异常。	Nenhuma anomalia registada nesta sessão.
export.privacy	NetLurker processes network data on this device only: no telemetry, no analytics, no account.	NetLurker ağ verilerini yalnızca bu cihazda işler: telemetri yok, analitik yok, hesap yok.	NetLurker procesa los datos de red solo en este dispositivo: sin telemetría, sin analítica, sin cuenta.	NetLurker verarbeitet Netzwerkdaten nur auf diesem Gerät: keine Telemetrie, keine Analyse, kein Konto.	NetLurker traite les données réseau uniquement sur cet appareil : aucune télémétrie, aucune analyse, aucun compte.	NetLurkerはネットワークデータをこの端末内でのみ処理します。テレメトリ・分析・アカウントはありません。	NetLurker 仅在本机处理网络数据：无遥测、无分析、无账户。	O NetLurker processa dados de rede apenas neste dispositivo: sem telemetria, sem analítica, sem conta.
export.session	Session	Oturum	Sesión	Sitzung	Session	セッション	会话	Sessão
export.title	NetLurker security report	NetLurker güvenlik raporu	Informe de seguridad NetLurker	NetLurker Sicherheitsbericht	Rapport de sécurité NetLurker	NetLurker セキュリティレポート	NetLurker 安全报告	Relatório de segurança NetLurker
field.abuse_contact	Abuse contact	Kötüye kullanım iletişimi	Contacto de abuso	Abuse-Kontakt	Contact abuse	abuse連絡先	滥用举报联系人	Contacto de abuso
field.abuseipdb	AbuseIPDB	AbuseIPDB	AbuseIPDB	AbuseIPDB	AbuseIPDB	AbuseIPDB	AbuseIPDB	AbuseIPDB
field.abuseipdb.no_key	not queried — no API key	sorgulanmadı — API anahtarı yok	no consultado — sin clave API	nicht abgefragt — kein API-Schlüssel	non interrogé — pas de clé API	未照会 — APIキーなし	未查询 — 无 API 密钥	não consultado — sem chave API
field.addresses	Addresses	Adresler	Direcciones	Adressen	Adresses	アドレス	地址	Endereços
field.android	Android	Android	Android	Android	Android	Android	Android	Android
field.apk_hash	APK SHA-256	APK SHA-256	SHA-256 del APK	APK-SHA-256	SHA-256 de l'APK	APK SHA-256	APK SHA-256	SHA-256 do APK
field.apk_hash.pending	not computed yet	henüz hesaplanmadı	aún no calculado	noch nicht berechnet	pas encore calculé	未計算	尚未计算	ainda não calculado
field.apk_path	APK path	APK yolu	Ruta del APK	APK-Pfad	Chemin de l'APK	APKパス	APK 路径	Caminho do APK
field.asn	ASN	ASN	ASN	ASN	ASN	ASN	ASN	ASN
field.band	Band	Bant	Banda	Band	Bande	バンド	频段	Banda
field.baselines	Baselines	Taban çizgileri	Líneas base	Basislinien	Références	ベースライン	基线	Linhas base
field.bssid	BSSID	BSSID	BSSID	BSSID	BSSID	BSSID	BSSID	BSSID
field.captive_portal	Captive portal	Yönlendiren portal	Portal cautivo	Captive Portal	Portail captif	キャプティブポータル	强制门户	Portal cativo
